id;pid;phone;ci;di
1;58415;1-781-265-1448 x03866;Salad port;Movies Dinar
2;30274;997.670.0170 x9572;Market Small;Triple-buffered Strategist
3;26681;464-221-5222;optical indexing Bedfordshire;Plastic
4;60281;1-364-385-7514 x668;Palau FTP Toys;Regional capacitor Concrete
5;31082;362.784.8715;Secured Marketing Dram;parse Brand
6;18335;610.772.2162 x22238;Research;experiences Fantastic hacking
7;11086;978-244-2756 x8430;programming Networked;didactic cultivate Georgia
8;58767;496-438-3396;Executive Home;York Brand
9;83108;1-532-648-2802;eco-centric driver;strategy Kwanza
10;49045;1-368-593-7924;wireless;Solutions Finland
